bad_reward,depth,update_rule,event_round,prior_good_traversals,paired_seeds,true_safe_value,true_risky_value,final_lock_probability,final_lock_ci_low,final_lock_ci_high,ever_demoted_probability,ever_demoted_ci_low,ever_demoted_ci_high,mean_first_demotion_delay,mean_post_event_risky_visits,mean_final_start_value,exact_full_return_lock_probability,mc_minus_exact_if_depth_one
-5.0,1,sample_average,20,20,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,16.4718,0.8382121398179122,0.9999999332131487,6.678685127159412e-08
-5.0,1,constant_alpha,20,20,20000,0.9,1.0,0.08995,0.08606313223600487,0.09399435653360655,1.0,0.9998079639438954,0.9999999999999999,0.0,92.6791,0.9873343505299521,0.08947417566109217,0.00047582433890783205
-5.0,1,sample_average,24,24,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,15.80275,0.851693260523356,0.9999984585411905,1.5414588094841974e-06
-5.0,1,constant_alpha,24,24,20000,0.9,1.0,0.1232,0.11871721828628955,0.12782750008559088,1.0,0.9998079639438954,0.9999999999999999,0.0,85.331,0.9824122829597154,0.1220358850117178,0.0011641149882822
-5.0,1,sample_average,28,28,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,15.0841,0.8629729470247568,0.999970894205022,2.9105794977946076e-05
-5.0,1,constant_alpha,28,28,20000,0.9,1.0,0.1605,0.15547804175741228,0.16565235072468273,1.0,0.9998079639438954,0.9999999999999999,0.0,77.9031,0.9767022897077008,0.1623753964691314,-0.0018753964691314018
-5.0,1,sample_average,32,32,20000,0.9,1.0,0.99955,0.9991449078924859,0.99976322888386,1.0,0.9998079639438954,0.9999999999999999,0.0,14.41375,0.8727235123211754,0.99956895970517,-1.8959705169963037e-05
-5.0,1,constant_alpha,32,32,20000,0.9,1.0,0.2123,0.2066880630200048,0.21802243452667774,1.0,0.9998079639438954,0.9999999999999999,0.0,69.8594,0.9684786470619798,0.21082594030446697,0.0014740596955330199
-5.0,1,sample_average,36,36,20000,0.9,1.0,0.9947,0.9935943455939249,0.9956156539321652,1.0,0.9998079639438954,0.9999999999999999,0.0,13.91145,0.8813751631117175,0.9952504580061932,-0.000550458006193133
-5.0,1,constant_alpha,36,36,20000,0.9,1.0,0.26465,0.2585817472299695,0.27080864414163897,1.0,0.9998079639438954,0.9999999999999999,0.0,62.33045,0.9591579107713969,0.26721532629005534,-0.0025653262900553475
-5.0,1,sample_average,39,39,20000,0.9,1.0,0.97595,0.9737335717583239,0.9779836291198701,1.0,0.9998079639438954,0.9999999999999999,0.0,14.0993,0.8876695477485066,0.9772477918124348,-0.0012977918124348342
-5.0,1,constant_alpha,39,39,20000,0.9,1.0,0.31595,0.3095428946567981,0.32242779381545406,1.0,0.9998079639438954,0.9999999999999999,0.0,56.5988,0.9501157752467064,0.3142794821476717,0.0016705178523283015
-5.0,1,sample_average,40,40,20000,0.9,1.0,0.96505,0.9624141148947472,0.9675072723694698,1.0,0.9998079639438954,0.9999999999999999,0.0,14.33425,0.8897639109041658,0.9635421952692625,0.0015078047307374165
-5.0,1,constant_alpha,40,40,20000,0.9,1.0,0.33095,0.32446156803365755,0.33750335935691145,1.0,0.9998079639438954,0.9999999999999999,0.0,54.4225,0.9474226737178575,0.3307768098757572,0.00017319012424282798
-5.0,1,sample_average,44,44,20000,0.9,1.0,0.82005,0.8146648039195411,0.8253122738009463,1.0,0.9998079639438954,0.9999999999999999,0.0,20.22375,0.9018035527809436,0.8199563548371112,9.36451628887891e-05
-5.0,1,constant_alpha,44,44,20000,0.9,1.0,0.4038,0.39701904969070395,0.41061789804649057,1.0,0.9998079639438954,0.9999999999999999,0.0,47.3164,0.9327371095634517,0.40012501234128506,0.0036749876587149344
-5.0,1,sample_average,48,48,20000,0.9,1.0,0.47785,0.47093220080273585,0.48477630639454955,1.0,0.9998079639438954,0.9999999999999999,0.0,40.50985,0.922891037948983,0.4733138264812474,0.004536173518752573
-5.0,1,constant_alpha,48,48,20000,0.9,1.0,0.47785,0.47093220080273585,0.48477630639454955,1.0,0.9998079639438954,0.9999999999999999,0.0,40.50985,0.9187339066885958,0.4733138264812474,0.004536173518752573
-5.0,1,sample_average,50,50,20000,0.9,1.0,0.27065,0.26453696752946443,0.2768511194094708,1.0,0.9998079639438954,0.9999999999999999,0.0,57.69195,0.9364637730491453,0.2708226612030003,-0.00017266120300030163
-5.0,1,constant_alpha,50,50,20000,0.9,1.0,0.51565,0.5087215351486252,0.5225724541228189,1.0,0.9998079639438954,0.9999999999999999,0.0,37.5153,0.9103081359805525,0.5106206222013961,0.005029377798603907
-5.0,1,sample_average,52,52,20000,0.9,1.0,0.114,0.10966936662088886,0.11847888521442393,1.0,0.9998079639438954,0.9999999999999999,0.0,76.38815,0.9486895523376847,0.11495834988843572,-0.0009583498884357111
-5.0,1,constant_alpha,52,52,20000,0.9,1.0,0.5452,0.5382908307104355,0.5520918092300926,1.0,0.9998079639438954,0.9999999999999999,0.0,34.677,0.9019335202701281,0.5479795344654841,-0.002779534465484068
-5.0,1,sample_average,56,56,20000,0.9,1.0,0.0045,0.0036627763775949032,0.005527531354004781,1.0,0.9998079639438954,0.9999999999999999,0.0,108.01725,0.9630454466686001,0.004688983106637242,-0.00018898310663724265
-5.0,1,constant_alpha,56,56,20000,0.9,1.0,0.62345,0.6167119081979325,0.6301406780998152,1.0,0.9998079639438954,0.9999999999999999,0.0,28.7876,0.8824988196011513,0.6215554154760285,0.0018945845239713988
